video_id,predictions,answers,prediction_time_seconds,correctPredictions,totalPredictions,totalAnswers
Y-3Kv4fdm7Uk,Steelpan; Music; Musical instrument; Drum; Percussion,Music; Musical instrument; Steelpan,0.655,3,5,3
Y-ZJqu_4zLMc,"Cat; Domestic animals, pets; Speech; Animal; Meow; Caterwaul; Inside, small room","Speech; Animal; Domestic animals, pets; Cat; Meow; Caterwaul",0.700,6,7,6
Y-_f_ClsDxyc,"Music; Brass instrument; Saxophone; Clarinet; Musical instrument; Trombone; French horn; Trumpet; Orchestra; Wind instrument, woodwind instrument",Brass instrument; Trumpet; Clarinet,0.758,3,10,3
Y-_HXiz8XnV0,"Speech; Music; Thunk; Shatter; Inside, small room; Breaking; Inside, large room or hall; Thump, thud","Speech; Music; Breaking; Inside, small room",0.691,4,8,4
Y-_QPd-VskKY,"Speech; Vehicle; Car; Outside, urban or manmade",Mouse,0.643,0,4,1
Y-_UCboMO_xE,Speech; Snicker; Laughter; Goose; Fowl,"Slap, smack",0.541,0,5,1
Y0-2Onbywljo,Music; Speech; Boing; Beatboxing,Speech; Grunt; Pig; Music,0.649,2,4,4
Y0-6N0Qagy5A,"Heart sounds, heartbeat; Music; Heart murmur; Throbbing; Hum",Music; Synthesizer; Bicycle bell,0.630,1,5,3
Y0-7PyzhzuYQ,Music; Musical instrument; Banjo; Plucked string instrument; Bluegrass; Folk music; Traditional music; Bowed string instrument,Music; Bluegrass; Folk music; Music of Latin America; Flamenco; Gospel music; Music of Bollywood,0.670,3,8,7
Y0-EgET9q3qE,Organ; Electronic organ; Hammond organ; Keyboard (musical); Music; Piano; Musical instrument; Electric piano,Organ; Electronic organ,0.681,2,8,2
Y0-Hzui4Qpl4,Speech,Speech; Boiling,0.647,1,1,2
Y0-ljtP6WJrI,Whistling; Music,Whistling,0.662,1,2,1
Y0-N62G9etNE,Music; Singing; Speech,Speech; Groan; Music; Music of Latin America,0.658,2,3,4
Y0-o0oZvSFOk,"Speech; Sheep; Animal; Bleat; Livestock, farm animals, working animals; Goat",Speech; Bleat; Sheep,0.675,3,6,3
Y0-yskgO46Bg,Speech; Mechanisms,"Speech; Dental drill, dentist's drill",0.688,1,2,2
Y00AGIhlv-w0,"Rub; Wood; Sanding; Domestic animals, pets; Animal; Dog; Filing (rasp); Sawing",Sanding; Wood; Rub,0.649,3,8,3
Y00cREXaIlnQ,"Music; Speech; Jingle, tinkle","Boat, Water vehicle; Rowboat, canoe, kayak",0.649,0,3,2
Y00FBAdjlF4g,"Speech; Gasp; Inside, small room; Snort",Creak,0.678,0,4,1
Y00G2vNrTnCc,"Music; Speech; Sonar; Scary music; Inside, small room",Speech; Music; Pulse,0.640,2,5,3
Y00iiNF4tn4o,"Speech; Steam whistle; Whistle; Steam; Music; Hiss; Air horn, truck horn; Flute",Train whistle,0.622,0,8,1
Y00KM53yZi2A,Printer; Cash register,Printer,0.667,1,2,1
Y00mJnXKtToE,Music; Speech,"Music; Burst, pop",0.633,1,2,2
Y00vYncpl0pk,Music; Video game music; Soundtrack music; Funny music,Music; Video game music,0.703,2,4,2
Y00wORCOKNHw,"Animal; Horse; Clip-clop; Speech; Livestock, farm animals, working animals; Dog; Neigh, whinny; Outside, rural or natural",Clip-clop,0.659,1,8,1
Y00XaUxjGuX8,"Speech; Sniff; Wheeze; Bouncing; Inside, small room; Animal",Bouncing,0.676,1,6,1
Y00z0M1DJyAw,"Turkey; Fowl; Gobble; Cluck; Chicken, rooster; Bird; Chirp, tweet; Bird vocalization, bird call, bird song",Fowl; Turkey; Gobble,0.752,3,8,3
Y01CiQ6VDxbo,A capella; Singing; Choir; Vocal music; Music,Yell,0.655,0,5,1
Y01he_d18c8o,"Train; Rail transport; Railroad car, train wagon; Train horn; Vehicle; Train whistle; Clickety-clack; Steam whistle; Hiss; Steam",Train whistle; Steam whistle,0.709,2,10,2
Y01SaXyGY5SM,"Cat; Speech; Meow; Domestic animals, pets; Animal; Caterwaul","Speech; Animal; Domestic animals, pets; Cat; Caterwaul",0.680,5,6,5
Y01x0zZpL87I,"Vehicle; Speech; Car; Race car, auto racing; Motor vehicle (road); Accelerating, revving, vroom; Outside, urban or manmade; Car passing by; Tire squeal",Speech; Clatter,0.676,1,9,2
Y02-0m4RbDUI,"Speech; Inside, small room",Speech; Door; Knock,0.815,1,2,3
Y02Ak1eIyj3M,"Emergency vehicle; Vehicle; Ambulance (siren); Siren; Motor vehicle (road); Fire engine, fire truck (siren); Truck",Emergency vehicle; Ambulance (siren); Siren,0.725,3,7,3
Y02Fdq2tyIWI,Music; Singing,Music; Happy music,0.692,1,2,2
Y02UvvE1oA1I,Music; Animal; Musical instrument; Guitar; Bleat; Sheep; Plucked string instrument; Goat,Bleat; Music,0.666,2,8,2
Y02XbmweOzOY,"Jackhammer; Machine gun; Vehicle; Gunshot, gunfire",Jackhammer,0.618,1,4,1
Y03aJ_RcnBko,Speech; Hammer; Tools; Wood,Hammer,0.677,1,4,1
Y03c-hmoUfuc,"Speech; Telephone bell ringing; Ringtone; Music; Telephone; Inside, small room","Speech; Telephone bell ringing; Inside, small room",0.670,3,6,3
Y03c2pnO2Xv0,Vehicle; Wood; Engine; Crushing; Idling,Crushing,0.656,1,5,1
Y03IZHwOh2eQ,"Speech; Chewing, mastication; Inside, small room; Biting","Chewing, mastication",0.668,1,4,1
Y03Q2SbeP_cw,Emergency vehicle; Music; Ambulance (siren); Siren; Police car (siren); Vehicle,Emergency vehicle; Ambulance (siren); Siren,0.631,3,6,3
Y03Uz8L0u07Q,Animal; Screaming; Whistle; Owl; Bird; Wild animals; Pig,Animal; Wild animals,0.652,2,7,2
Y03zeVlBWhdY,Crowd; Cheering; Battle cry; Speech; Children shouting,Speech; Whimper,0.660,1,5,2
Y0A-VisU1k8U,"Speech; Music; Mechanisms; Ratchet, pawl",Arrow,0.710,0,4,1
Y0a5KHX_odJ8,Speech; Door; Cupboard open or close; Sliding door; Drawer open or close,Speech; Bang,0.737,1,5,2
Y0a91szM1Ivw,Music; Carnatic music; Singing; Musical instrument; Classical music; Bowed string instrument,Music; Carnatic music; Traditional music,0.696,2,6,3
Y0AA0R8gbxcI,Chant; Mantra; Music; Singing; Choir,Speech; Reverberation; Field recording,0.689,0,5,3
Y0aaLWD7TUSU,"Speech; Vehicle; Car; Outside, urban or manmade","Boat, Water vehicle; Rowboat, canoe, kayak",0.647,0,4,2
Y0abzD7hBTRk,Beatboxing; Vocal music; Speech; Music,Music; Beatboxing,0.648,2,4,2
Y0AkRWunFZPk,"Speech; Inside, small room; Scissors",Speech; Crunch,0.678,1,3,2
Y0AqnCSdkjQ0,"Sink (filling or washing); Water; Water tap, faucet; Toilet flush; Liquid; Fill (with liquid); Trickle, dribble",Liquid; Drip,0.651,1,7,2
Y0ARh-9Amrv0,"Knock; Speech; Thunk; Door; Inside, small room; Music",Speech; Knock,0.643,2,6,2
Y0aYAf-S-fKM,Music; Church bell; Bell; Change ringing (campanology),Echo,0.637,0,4,1
Y0B7fwvTtvLM,"Fireworks; Firecracker; Trickle, dribble; Outside, urban or manmade","Trickle, dribble; Basketball bounce",0.561,1,4,2
Y0BauNGmZtTU,Thunder; Thunderstorm; Rain; Rain on surface; Raindrop,Thunderstorm; Thunder; Rain; Rain on surface,0.646,4,5,4
Y0BCXcbaLeoA,Breaking; Speech; Glass,"Chink, clink; Breaking",0.659,1,3,2
Y0BgI0XxW0kE,Speech; Vehicle; Car; Music,Speech; Air conditioning,0.663,1,4,2
Y0bhY7v5dJDY,"Grunt; Roar; Animal; Sound effect; Burping, eructation",Grunt,0.643,1,5,1
Y0bKpv6YBl7g,"Speech; Drawer open or close; Inside, small room",Speech; Drawer open or close,0.709,2,3,2
Y0BlmXxLck5g,Singing; Music; A capella; Vocal music; Humming; Choir,Synthetic singing,0.652,0,6,1
Y0bO6DhC2tlU,"Speech; Bouncing; Inside, small room; Stir",Frying (food); Stir; Sizzle,0.651,1,4,3
Y0bP2MH3LqvI,Music; Speech,"Music; Propeller, airscrew",0.636,1,2,2
Y0bRUkLsttto,Music; Hip hop music; Rapping,Music; Exciting music,0.718,1,3,2
Y0bsbkdnSgMQ,"Animal; Domestic animals, pets; Inside, small room",Creak,0.674,0,3,1
Y0bvPjMQ_WbE,Steelpan; Music; Drum; Musical instrument; Percussion; Drum kit,Music; Steelpan,0.661,2,6,2
Y0bWZNWZ8YCI,"Ratchet, pawl; Mechanisms; Gears; Alarm clock",Clatter,0.657,0,4,1
Y0c1YU_VtFRE,Music; Vehicle; Wind noise (microphone); Wind,"Music; Outside, rural or natural; Field recording",0.652,1,4,3
Y0c78GAZ0jLY,Singing; Child singing; Female singing; Music; Lullaby,Child singing,0.623,1,5,1
Y0CA5CPHRXDc,"Mosquito; Insect; Fly, housefly; Music","Insect; Mosquito; Fly, housefly",0.585,3,4,3
Y0Cd8q2Zg1Mc,Snoring; Snort,Snoring,0.665,1,2,1
Y0CJFt950vOk,Civil defense siren; Siren,Siren; Civil defense siren,0.652,2,2,2
Y0Cl6hXpryhY,"Speech; Groan; Wail, moan",Grunt; Basketball bounce,0.652,0,3,2
Y0cNYPgD6cEA,Music; Singing; Musical instrument; Female singing; Guitar,Male singing; Music,0.688,1,5,2
Y0crG6jzAUpE,"Speech; Dial tone; Telephone bell ringing; Telephone dialing, DTMF; Telephone; Ringtone; Music; Inside, small room","Speech; Busy signal; Inside, small room",0.656,2,8,3
Y0CTgEP0SIVg,"Bird; Chirp, tweet; Bird vocalization, bird call, bird song; Animal; Domestic animals, pets; Outside, rural or natural; Bird flight, flapping wings; Coo; Speech","Bird; Bird vocalization, bird call, bird song; Chirp, tweet; Insect; Cricket",0.710,3,9,5
Y0Cu33yBwAPg,Church bell; Bell,Church bell,0.731,1,2,1
Y0CzC0-cXe8M,Vehicle; Lawn mower; Truck; Idling; Light engine (high frequency); Engine,Vehicle; Lawn mower,0.681,2,6,2
Y0cZQm65sZjc,Keys jangling; Speech; Car; Vehicle,Speech; Keys jangling,0.685,2,4,2
Y0D9ZiiYArKw,"Speech; Inside, small room",Speech; Flap,0.698,1,2,2
Y0dC6Ay0oqWk,Harp; Music; Pizzicato; Plucked string instrument; Musical instrument; Zither,Zither; Pizzicato,0.662,2,6,2
Y0dd6AlyOnfc,Speech; Music; Vehicle; Car,Pump (liquid),0.644,0,4,1
Y0dgl6Rvt3X0,"Speech; Chatter; Inside, public space; Outside, urban or manmade; Hubbub, speech noise, speech babble; Music",Speech; Single-lens reflex camera,0.699,1,6,2
Y0DizopdPMBw,Music; Grunge; Rock music; Progressive rock; Punk rock; Singing,Music; Exciting music,0.675,1,6,2
Y0DJP7ywh7nc,Music; Vehicle; Electronic music; Car; Steam whistle,Steam whistle,0.631,1,5,1
Y0dPx94RPy2M,Music; Electronic music; Drum; Musical instrument; Drum kit,"Music; Dental drill, dentist's drill",0.741,1,5,2
Y0dVmGVa3Rbw,Single-lens reflex camera; Silence,Camera; Single-lens reflex camera,0.660,1,2,2
Y0DwRfesDQvE,"Crunch; Chewing, mastication",Rattle,0.625,0,2,1
Y0DzsPL-xElE,Chainsaw; Vehicle; Power tool,Motorcycle; Chainsaw,0.682,1,3,2
Y0EI7FxbdsUE,"Speech; Music; Water; Liquid; Trickle, dribble; Gush; Fill (with liquid); Frying (food)",Speech; Music; Gush,0.682,3,8,3
Y0EiQyHjoaz8,Cash register; Mechanisms,Cash register,0.667,1,2,1
Y0EOQco76eXQ,Music; Guitar; Musical instrument; Plucked string instrument; Bass guitar; Acoustic guitar; Electric guitar; Strum,Music; Musical instrument; Bass guitar; Wedding music,0.668,3,8,4
Y0EQYTfW7TDc,Chopping (food); Wood; Knock,Chopping (food),0.618,1,3,1
Y0eTrzI5-ong,"Music; Bluegrass; Musical instrument; Banjo; Country; Violin, fiddle; Bowed string instrument; Plucked string instrument; Guitar; Mandolin",Zither; Bowed string instrument; Pizzicato; Cello,0.653,1,10,4
Y0EvpBtracsk,Music; Singing; Guitar; Musical instrument,Music; Radio,0.671,1,4,2
Y0ewQiU3q5jM,"Glockenspiel; Mallet percussion; Marimba, xylophone; Music; Chime; Ding-dong",Music; Jingle (music),0.653,1,6,2
Y0eXXRhp0p3w,Vehicle; Music,Gush,0.664,0,2,1
Y0EyIdGgbPEo,"Music; Speech; Smash, crash",Speech; Music; Bang,0.661,2,3,3
Y0EyJ15KLxg4,Organ; Hammond organ; Electronic organ; Keyboard (musical); Piano; Musical instrument; Music; Electric piano,Organ; Electronic organ; Hammond organ,0.678,3,8,3
Y0F-Z0zF1504,Music; Zing; Rhythm and blues; Singing; Pop music,Music; Pop music; Soul music,0.653,2,5,3
Y0F04c_rY4aw,"Animal; Dog; Domestic animals, pets; Howl; Canidae, dogs, wolves; Speech; Whimper (dog); Yip; Bark; Bow-wow",Howl,0.676,1,10,1
Y0fCpAuxrQ_I,Music; Progressive rock; Heavy metal; Rock music; Psychedelic rock; Guitar; Musical instrument; Grunge; Angry music,Music; Angry music,0.646,2,9,2
Y0fD-eSRrybM,Speech; Music; Fusillade; Mechanisms; Boom,Mechanisms; Creak,0.658,1,5,2
Y0fiOM---7QI,Music; Tabla; Percussion; Drum; Musical instrument; Speech; Carnatic music,Music; Middle Eastern music,0.663,1,7,2
Y0FjrveIENzI,Music; Singing; Ska,Shuffle; Music,0.655,1,3,2
Y0foC-4n-eH0,"Animal; Domestic animals, pets; Dog; Speech; Bow-wow; Inside, small room","Animal; Domestic animals, pets; Dog; Door; Sliding door",0.572,3,6,5
Y0fqtA_ZBn_8,Music; Carnatic music; Mantra; Singing; Chant; Music of Asia,Mantra; Music; Sitar; Carnatic music,0.674,3,6,4
Y0fsntL6RKww,Music; Skateboard,Hammer,0.660,0,2,1
Y0fvq8YY28qI,Coin (dropping); Speech; Cash register; Typewriter,"Speech; Crack; Inside, small room",0.664,1,4,3
Y0fwt2zSftIc,"Speech; Vehicle; Inside, small room; Sewing machine",Mechanical fan,0.685,0,4,1
Y0fZKF6FprcA,"Vehicle; Car; Engine; Power windows, electric windows; Engine starting; Motor vehicle (road); Idling; Truck",Mechanisms; Creak,0.677,0,8,2
Y0Fzrv1GXHPI,"Music; Heart sounds, heartbeat; Heart murmur; Throbbing; Hum; Singing",Sine wave,0.638,0,6,1
Y0g-KosNgMYA,Music; Speech; Singing,"Rail transport; Train; Train whistle; Railroad car, train wagon",0.655,0,3,4
Y0g4SlqjORM4,French horn; Brass instrument; Music; Trombone; Orchestra; Trumpet; Musical instrument; Classical music,Orchestra; Brass instrument; French horn,0.652,3,8,3
Y0G50t4FlbIA,Screaming; Fireworks; Speech; Rain; Waterfall,Speech; Screaming,0.637,2,5,2
Y0Ga7T-2e490,"Vehicle; Wind; Wind noise (microphone); Waves, surf; Ocean; Boat, Water vehicle; Car",Vehicle; Truck; Air brake,0.641,1,7,3
Y0GFtqzOWnWg,Power tool; Drill; Wood; Speech; Tools; Sawing; Splinter; Rub; Skateboard,Jackhammer,0.625,0,9,1
Y0GhmrpFuRNQ,Music; Singing; Shout; Crowd; Pop music,Shout; Singing; Music,0.639,3,5,3
Y0GNNFBrRz1E,Rub; Wood; Filing (rasp),Hammer,0.645,0,3,1
Y0Gxn9FtaJFc,Music; Singing; Christian music; Independent music,Music; Sad music,0.644,1,4,2
Y0g_-KI5NZ-E,Music; Whistling; Organ,Whistling,0.650,1,3,1
Y0H25ve3qts4,Music; Speech; Chopping (food); Thunk,Speech; Music; Slam,0.644,2,4,3
Y0H30ORfaFK8,Stomach rumble,Stomach rumble,0.693,1,1,1
Y0H814XXq-WQ,Battle cry; Crowd; Cheering; Music; Speech; Children shouting,Battle cry; Crowd,0.695,2,6,2
Y0HbhE91JB-k,"Insect; Speech; Music; Fly, housefly; Bee, wasp, etc.; Mosquito","Insect; Mosquito; Fly, housefly",0.706,3,6,3
Y0he6VV5Y9Bg,"Insect; Speech; Cricket; Outside, rural or natural; Bee, wasp, etc.; Animal",Insect; Cricket,0.660,2,6,2
Y0hfU27A6tus,Music; Banjo; Musical instrument; Bluegrass; Country; Plucked string instrument; Singing; Mandolin,Music; Musical instrument; Plucked string instrument; Guitar; Banjo; Bowed string instrument; Country; Bluegrass,0.657,6,8,8
Y0HGsAx2KjPM,Music; Wood block; Percussion; Drum; Musical instrument,Percussion; Wood block,0.643,2,5,2
Y0hjqlmdPT6g,Vehicle; Engine; Idling; Engine knocking; Vibration; Medium engine (mid frequency); Car,Vehicle; Engine; Heavy engine (low frequency); Engine starting,0.642,2,7,4
Y0hOD_iIeePk,Vehicle; Car; Keys jangling; Speech; Motor vehicle (road); Engine starting; Engine; Music; Truck,Speech; Vehicle; Car; Engine; Engine starting,0.658,5,9,5
Y0HqZRxHCGLc,Music; Speech; Rain; Rain on surface,Wood; Splinter,0.654,0,4,2
Y0hUft9scxzY,"Speech; Crumpling, crinkling; Inside, small room; Tearing",Speech; Tearing,0.651,2,4,2
Y0hWIKYNSEPE,Music; Bagpipes,"Percussion; Drum; Bass drum; Wind instrument, woodwind instrument; Bagpipes",0.659,1,2,5
Y0HXYdGGKV2k,Music; Banjo; Bluegrass; Country; Musical instrument; Plucked string instrument; Guitar,Music; Banjo; Bluegrass,0.674,3,7,3
Y0HzbpwB3xDk,Speech; Hammer; Air conditioning; Vehicle; Insect,Air conditioning,0.677,1,5,1
Y0i-RTS_FXcM,Music; Ringtone; Musical instrument,Music; Ringtone,0.681,2,3,2
Y0i8VM_EooCs,Music; Pop music; Music of Asia; Singing; Dance music; Disco; Electronic music,Music; Electronic music; Techno,0.653,2,7,3
Y0iiwZ2_9Vi8,Vehicle; Car; Speech,Cough,0.665,0,3,1
Y0ImJuPpEpco,Vehicle; Car; Music,"Propeller, airscrew",0.625,0,3,1
Y0IMxRf5KZBY,"Speech; Splash, splatter; Slosh; Train; Water; Rail transport; Railroad car, train wagon; Vehicle; Ocean; Waves, surf",Speech; Slosh,0.656,2,10,2
Y0ISHZQJdeSw,Music; Speech; Singing,Music; Pop music; Middle Eastern music,0.682,1,3,3
Y0IwGsEzITQs,"Vehicle; Car; Race car, auto racing; Tire squeal; Motor vehicle (road); Skidding; Accelerating, revving, vroom",Vehicle; Motor vehicle (road); Car; Tire squeal,0.755,4,7,4
Y0IxyUtHw6Ec,Speech; Chatter; Music; Crowd,Speech; Chatter; Music,0.710,3,4,3
Y0IzhjqyDzt8,Church bell; Bell,Church bell,0.657,1,2,1
Y0izHOfrwPn4,Music; Speech; Animal,Speech; Quack; Music,0.679,2,3,3
Y0J3wJhQVOII,Speech; Vehicle; Music; Car,Speech; Air conditioning,0.662,1,4,2
Y0JbGxIR8JTk,Music; Singing; Speech,Music; Ska,0.668,1,3,2
Y0jFQ21A6GRA,Music; Singing,Music; Middle Eastern music,0.668,1,2,2
Y0jiu0RNizU8,Music; Yodeling; Singing; Opera; Speech; Musical instrument,"Bowed string instrument; Violin, fiddle",0.662,0,6,2
Y0JjprYD2Yhw,Whip,Whip,0.639,1,1,1
Y0jnvb2H25_Q,"Speech; Baby laughter; Laughter; Belly laugh; Giggle; Inside, small room",Speech; Humming,0.662,1,6,2
Y0Jq6WJLLSIk,"Speech; Slap, smack; Music; Clapping; Hands",Speech; Oink,0.638,1,5,2
Y0jR20-0sy1Y,"Wind instrument, woodwind instrument; Shofar; Speech","Wind instrument, woodwind instrument; Shofar",0.631,2,3,2
Y0jy-sVREk4o,"Music; Vehicle; Wind noise (microphone); Boat, Water vehicle; Wind",Clip-clop,0.658,0,5,1
Y0j_nQcD7jdU,Music; Electronic music; Throbbing; Hum,Music; Soundtrack music; Pulse,0.657,1,4,3
Y0J_TdiZ3TKA,Music; Speech,Male singing; Synthetic singing; Music,0.639,1,2,3
Y0K0pXiZrUJA,"Speech; Inside, small room; Crunch; Outside, rural or natural; Crumpling, crinkling",Crunch,0.700,1,5,1
Y0k6KjLouAHs,Speech; Laughter; Belly laugh; Giggle,Speech; Throat clearing,0.653,1,4,2
Y0KCVgexi4yU,Music; Music of Asia; Singing; Pop music; Electronic music,Music; Middle Eastern music; Happy music,0.661,1,5,3
Y0kIIGL-xFhY,"Finger snapping; Dog; Animal; Domestic animals, pets; Snoring; Inside, small room",Breathing,0.665,0,6,1
Y0KKTw8pfNjg,"Fire alarm; Speech; Alarm; Music; Inside, small room; Musical instrument",Speech; Fire alarm,0.694,2,6,2
Y0kNCB0oGiL4,Gasp; Breathing; Sigh; Snoring,"Sigh; Inside, small room",0.671,1,4,2
Y0KOPvSUlNjI,"Bagpipes; Wind instrument, woodwind instrument; Music","Wind instrument, woodwind instrument; Bagpipes",0.631,2,3,2
Y0kQD1P0_KUs,Music; Drum; Musical instrument; Percussion; Swing music; Brass instrument; Drum kit,Music; Wedding music,0.641,1,7,2
Y0kQjfwXjFuY,Music; Speech; Singing; Mantra; Chant,Chant; Music,0.653,2,5,2
Y0kqQNBR09Rc,"Speech; Music; Skidding; Vehicle; Shatter; Car; Tire squeal; Race car, auto racing",Skidding,0.657,1,8,1
Y0kY1isykrrs,Music; Speech; Singing; Mantra; New-age music,Speech; Music; Tender music,0.679,2,5,3
Y0L2ndtt60Q8,Music; Speech; Electronic music; Rattle (instrument); Singing; Maraca,Synthetic singing; Music,0.630,1,6,2
Y0LAcf9DNd1Q,Music; Speech,"Whoosh, swoosh, swish; Sound effect",0.667,0,2,2
Y0LE6Ll1rVlg,Music; Grunge; Singing; Progressive rock; Rock music; Punk rock,Music; Rhythm and blues; Exciting music,0.666,1,6,3
Y0lJyHuTVMNY,"Speech; Crunch; Inside, small room; Chewing, mastication; Biting; Tearing","Speech; Crunch; Inside, small room",0.662,3,6,3
Y0LLlcPiatiU,Music; Silence,Music; Single-lens reflex camera,0.648,1,2,2
Y0loP4WNnL2k,"Train; Rail transport; Railroad car, train wagon; Subway, metro, underground; Vehicle; Train wheels squealing; Clickety-clack; Train horn","Rail transport; Train; Railroad car, train wagon; Subway, metro, underground",0.683,4,8,4
Y0lPcHRhXlWk,"Vehicle; Car; Boat, Water vehicle; Outside, urban or manmade; Motor vehicle (road)",Vehicle; Bus,0.660,1,5,2
Y0lPip_ffJbk,Rub; Sanding; Speech; Scratch,Speech; Writing,0.670,1,4,2
Y0LTmV_dOmmo,Knock; Speech; Chopping (food),Speech; Knock,0.692,2,3,2
Y0LY5zuRlIac,Drum; Drum kit; Drum roll; Snare drum; Bass drum; Percussion; Rimshot; Musical instrument; Music; Cymbal,Cymbal; Hi-hat,0.670,1,10,2
Y0m2rwP3eYno,Silence; Music,Sonar,0.621,0,2,1
Y0m9-5BkL4Mc,Music; Singing; Musical instrument,Child singing; Music,0.658,1,3,2
Y0Mba3BS1oRM,Speech; Frying (food); Sizzle; Boiling; Gush,Speech; Boiling,0.636,2,5,2
Y0mD4OcdidBM,"Siren; Shofar; Wind instrument, woodwind instrument; Civil defense siren",Siren; Civil defense siren,0.666,2,4,2
Y0MEPG8c0jqk,"Speech; Crumpling, crinkling; Inside, small room; Tearing","Speech; Crumpling, crinkling; Inside, small room",0.682,3,4,3
Y0ml1KwECOo8,Snoring,Snoring,0.636,1,1,1
Y0mNvPaqfwUI,"Vehicle; Train; Rail transport; Railroad car, train wagon; Subway, metro, underground; Fixed-wing aircraft, airplane; Aircraft","Rail transport; Train; Railroad car, train wagon; Train wheels squealing",0.680,3,7,4
Y0MV5mb0RJLY,Speech; Whispering; Quack; Duck; Animal,"Speech; Animal; Duck; Inside, small room",0.638,3,5,4
Y0mXkme9abiU,Speech; Music,Chirp tone,0.658,0,2,1
Y0mZQ6Q-viPw,"Chewing, mastication; Biting; Crunch; Inside, small room",Cough,0.683,0,4,1
Y0MzrXd8CUCg,"Music; Wind instrument, woodwind instrument; Theremin; Flute; Shofar; Musical instrument",Music; Foghorn,0.639,1,6,2
Y0N17tEW_WEU,Speech synthesizer; Speech,"Speech; Narration, monologue",0.641,1,2,2
Y0N3-lCzOQPI,Frog; Croak,Frog; Croak,0.580,2,2,2
Y0N6S5OoG7Vg,"Emergency vehicle; Ambulance (siren); Siren; Vehicle; Speech; Fire engine, fire truck (siren); Car; Police car (siren); Motor vehicle (road); Truck",Wind; Wind noise (microphone); Fire,0.645,0,10,3
